product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume
BTC-USDC,68116.17,-0.16163819163975,8742.62782876,9.35343249541685,0.00000001,0.01,1,150000000,0.00000001,3400,Bitcoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BTC,,,BTC-USD,[],BTC,USD,False,0.01,BTC-USDC,CBE,595514323.43
BTC-USD,68116.17,-0.16163819163975,8742.62782876,9.35343249541685,0.00000001,0.01,1,150000000,0.00000001,3400,Bitcoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BTC,,,,['BTC-USDC'],BTC,USD,False,0.01,BTC-USD,CBE,595514323.43
ETH-USDC,2636.49,0.31504331845629,58988.57096328,-14.94456191043681,0.00000001,0.01,1,150000000,0.00000001,42000,Ethereum,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ETH,,,ETH-USD,[],ETH,USD,False,0.01,ETH-USDC,CBE,155522777.46
ETH-USD,2636.49,0.31504331845629,58988.57096328,-14.94456191043681,0.00000001,0.01,1,150000000,0.00000001,42000,Ethereum,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ETH,,,,['ETH-USDC'],ETH,USD,False,0.01,ETH-USD,CBE,155522777.46
USDT-USD,0.99991,0.02300736235595,155494369.02,-54.65465442845173,0.01,0.00001,1,10000000,0.01,10480600,Tether,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,USDT,,,,[],USDT,USD,False,0.00001,USDT-USD,CBE,155480374.53
DOGE-USDC,0.14437,7.18687356151162,676278233.2,-18.45491647320325,0.1,0.00001,1,10000000,0.1,141834300,Dogecoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,DOGE,,,DOGE-USD,[],DOGE,USD,False,0.00001,DOGE-USDC,CBE,97634288.53
DOGE-USD,0.14437,7.18687356151162,676278233.2,-18.45491647320325,0.1,0.00001,1,10000000,0.1,141834300,Dogecoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,DOGE,,,,['DOGE-USDC'],DOGE,USD,False,0.00001,DOGE-USD,CBE,97634288.53
SOL-USDC,154.87,0.59759662227996,444046.77216811,-29.73613721673131,0.00000001,0.01,1,25000000,0.00000001,1274000,Solana,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SOL,,,SOL-USD,[],SOL,USD,False,0.01,SOL-USDC,CBE,68769523.61
SOL-USD,154.87,0.59759662227996,444046.77216811,-29.73613721673131,0.00000001,0.01,1,25000000,0.00000001,1274000,Solana,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SOL,,,,['SOL-USDC'],SOL,USD,False,0.01,SOL-USD,CBE,68769523.61
SUI-USDC,2.0556,-1.39588429989927,21860582.9,-26.99432826846335,0.1,0.0001,1,10000000,0.1,8632925.2247136092006656,SUI,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SUI,,,SUI-USD,[],SUI,USD,False,0.0001,SUI-USDC,CBE,44936614.21
SUI-USD,2.0556,-1.39588429989927,21860582.9,-26.99432826846335,0.1,0.0001,1,10000000,0.1,8632925.2247136092006656,SUI,US Dollar,True,False,False,online,False,False,False,False,False,SPOT,USD,SUI,,,,['SUI-USDC'],SUI,USD,False,0.0001,SUI-USD,CBE,44936614.21
USDT-USDC,1,0.03000900270081,41924947.92,-76.80031033010334,0.01,0.0001,1,10000000,0.01,10000550.0302516638415113,Tether,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,USDT,,,,[],USDT,USDC,False,0.0001,USDT-USDC,CBE,41924947.92
SHIB-USD,0.00001915,1.86170212765957,2017247103706,7.91162076527016,1,0.00000001,1,10000000,1,970443076600,SHIBA INU,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SHIB,,,,['SHIB-USDC'],SHIB,USD,False,0.00000001,SHIB-USD,CBE,38630282.04
SHIB-USDC,0.00001915,1.86170212765957,2017247103706,7.91162076527016,1,0.00000001,1,10000000,1,970443076600,SHIBA INU,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SHIB,,,SHIB-USD,[],SHIB,USD,False,0.00000001,SHIB-USDC,CBE,38630282.04
BONK-USDC,0.00002361,-0.37974683544304,1498874373899,-24.99828102650958,1,0.00000001,1,10000000,1,357142857143,Bonk,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BONK,,,BONK-USD,[],BONK,USD,False,0.00000001,BONK-USDC,CBE,35388423.97
BONK-USD,0.00002361,-0.37974683544304,1498874373899,-24.99828102650958,1,0.00000001,1,10000000,1,357142857143,Bonk,US Dollar,True,False,False,online,False,False,False,False,False,SPOT,USD,BONK,,,,['BONK-USDC'],BONK,USD,False,0.00000001,BONK-USD,CBE,35388423.97
BTC-USDT,68121.76,-0.16256140019709,294.2606315,-44.87441034261934,0.00000001,0.01,1,10000000,0.00000001,400,Bitcoin,Tether,False,False,False,online,False,False,False,False,False,SPOT,USDT,BTC,,,,[],BTC,USDT,False,0.01,BTC-USDT,CBE,20045552.12
ONDO-USDC,0.7771,5.94988138412456,24839861.74,154.29124614557613,0.01,0.00001,1,10000000,0.01,333333333.3333333333333333,Ondo Finance,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ONDO,,,ONDO-USD,[],ONDO,USD,False,0.00001,ONDO-USDC,CBE,19303056.56
ONDO-USD,0.7771,5.94988138412456,24839861.74,154.29124614557613,0.01,0.00001,1,10000000,0.01,333333333.3333333333333333,Ondo Finance,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ONDO,,,,['ONDO-USDC'],ONDO,USD,False,0.00001,ONDO-USD,CBE,19303056.56
XRP-USD,0.54446,-0.06240822320117,29167407.202161,-24.92861749183024,0.000001,0.0001,1,10000000,0.000001,11996772.8407292192545075,XRP,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,XRP,,,,['XRP-USDC'],XRP,USD,False,0.0001,XRP-USD,CBE,15880486.53
XRP-USDC,0.54446,-0.06240822320117,29167407.202161,-24.92861749183024,0.000001,0.0001,1,10000000,0.000001,11996772.8407292192545075,XRP,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,XRP,,,XRP-USD,[],XRP,USD,False,0.0001,XRP-USDC,CBE,15880486.53
BTC-EUR,62668.52,-0.20882278662018,198.42368382,-48.91334187634938,0.00000001,0.01,1,10000000,0.00000001,400,Bitcoin,Euro,False,False,False,online,False,False,False,False,False,SPOT,EUR,BTC,,,,[],BTC,EUR,False,0.01,BTC-EUR,CBE,12434918.6
LTC-USD,74.8,3.11552247036118,163320.97404765,-16.19577295729047,0.00000001,0.01,1,10000000,0.00000001,122300,Litecoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,LTC,,,,['LTC-USDC'],LTC,USD,False,0.01,LTC-USD,CBE,12216408.86
LTC-USDC,74.8,3.11552247036118,163320.97404765,-16.19577295729047,0.00000001,0.01,1,10000000,0.00000001,122300,Litecoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,LTC,,,LTC-USD,[],LTC,USD,False,0.01,LTC-USDC,CBE,12216408.86
LINK-USD,11.354,-0.49079754601227,966750.59,-19.88579794798712,0.01,0.001,1,10000000,0.01,1503100,Chainlink,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,LINK,,,,['LINK-USDC'],LINK,USD,False,0.001,LINK-USD,CBE,10976486.2
LINK-USDC,11.354,-0.49079754601227,966750.59,-19.88579794798712,0.01,0.001,1,10000000,0.01,1503100,Chainlink,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,LINK,,,LINK-USD,[],LINK,USD,False,0.001,LINK-USDC,CBE,10976486.2
USDC-EUR,0.92,-0.0868809730669,10922758.82,-4.26394272114675,0.01,0.0001,1,10000000,0.01,10000000,USDC,Euro,False,False,False,online,False,True,False,False,False,SPOT,EUR,USDC,,,,[],USDC,EUR,False,0.0001,USDC-EUR,CBE,10048938.1144
SEI-USD,0.4369,-1.48816234498309,22116883.4,18.12711439676576,0.1,0.0001,1,10000000,0.1,56608375.2304487286314053,Sei,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SEI,,,,['SEI-USDC'],SEI,USD,False,0.0001,SEI-USD,CBE,9662866.36
SEI-USDC,0.4369,-1.48816234498309,22116883.4,18.12711439676576,0.1,0.0001,1,10000000,0.1,56608375.2304487286314053,Sei,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SEI,,,SEI-USD,[],SEI,USD,False,0.0001,SEI-USDC,CBE,9662866.36
BIGTIME-USD,0.16825,21.92028985507246,56078749,280.50467797784121,1,0.00001,1,10000000,1,689655172.4137931034482759,Big Time,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BIGTIME,,,,['BIGTIME-USDC'],BIGTIME,USD,False,0.00001,BIGTIME-USD,CBE,9435249.52
BIGTIME-USDC,0.16825,21.92028985507246,56078749,280.50467797784121,1,0.00001,1,10000000,1,689655172.4137931034482759,Big Time,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BIGTIME,,,BIGTIME-USD,[],BIGTIME,USD,False,0.00001,BIGTIME-USDC,CBE,9435249.52
ETH-USDT,2636.51,0.32229342019147,3479.04888419,-44.04340354349444,0.00000001,0.01,1,10000000,0.00000001,6200,Ethereum,Tether,False,False,False,online,False,False,False,False,False,SPOT,USDT,ETH,,,,[],ETH,USDT,False,0.01,ETH-USDT,CBE,9172547.17
FET-USDC,1.3983,0.27249910362137,5968935.1,-13.69237186120368,0.1,0.0001,1,10000000,0.1,26973400,Artificial Superintelligence Alliance,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,FET,,,FET-USD,[],FET,USD,False,0.0001,FET-USDC,CBE,8346361.95
FET-USD,1.3983,0.27249910362137,5968935.1,-13.69237186120368,0.1,0.0001,1,10000000,0.1,26973400,Artificial Superintelligence Alliance,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,FET,,,,['FET-USDC'],FET,USD,False,0.0001,FET-USD,CBE,8346361.95
BTC-GBP,52223.52,-0.04107571674829,133.97855363,9.63760345324929,0.00000001,0.01,1,10000000,0.00000001,200,Bitcoin,British Pound,False,False,False,online,False,False,False,False,False,SPOT,GBP,BTC,,,,[],BTC,GBP,False,0.01,BTC-GBP,CBE,6996831.68
UNI-USD,7.417,-0.12119579854565,936700.810934,113.17337105724038,0.000001,0.001,1,10000000,0.000001,1726300,Uniswap,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,UNI,,,,['UNI-USDC'],UNI,USD,False,0.001,UNI-USD,CBE,6947509.91
UNI-USDC,7.417,-0.12119579854565,936700.810934,113.17337105724038,0.000001,0.001,1,10000000,0.000001,1726300,Uniswap,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,UNI,,,UNI-USD,[],UNI,USD,False,0.001,UNI-USDC,CBE,6947509.91
MATH-USDC,0.5631,46.03215767634855,11203685.9,17.88644077683829,0.1,0.0001,1,10000000,0.1,84437000,MATH,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,MATH,,,MATH-USD,[],MATH,USD,False,0.0001,MATH-USDC,CBE,6308795.53
MATH-USD,0.5631,46.03215767634855,11203685.9,17.88644077683829,0.1,0.0001,1,10000000,0.1,84437000,MATH,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,MATH,,,,['MATH-USDC'],MATH,USD,False,0.0001,MATH-USD,CBE,6308795.53
AVAX-USDC,27.89,1.01412531691416,206677.15346818,-17.62844321715081,0.00000001,0.01,1,10000000,0.00000001,631600,Avalanche,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,AVAX,,,AVAX-USD,[],AVAX,USD,False,0.01,AVAX-USDC,CBE,5764225.81
AVAX-USD,27.89,1.01412531691416,206677.15346818,-17.62844321715081,0.00000001,0.01,1,10000000,0.00000001,631600,Avalanche,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AVAX,,,,['AVAX-USDC'],AVAX,USD,False,0.01,AVAX-USD,CBE,5764225.81
DIA-USD,0.99956,0.96769631709732,5602246.38,-67.99626151077131,0.01,0.00001,1,10000000,0.01,28998900,DIA,US Dollar,True,False,False,online,False,False,False,False,False,SPOT,USD,DIA,,,,['DIA-USDC'],DIA,USD,False,0.00001,DIA-USD,CBE,5599781.39
DIA-USDC,0.99956,0.96769631709732,5602246.38,-67.99626151077131,0.01,0.00001,1,10000000,0.01,28998900,DIA,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,DIA,,,DIA-USD,[],DIA,USD,False,0.00001,DIA-USDC,CBE,5599781.39
RNDR-USDC,5.2925,-0.41583562262447,1003260.41,-15.25276878136486,0.01,0.0001,1,10000000,0.01,8235000,Render (ERC-20),USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,RNDR,,,RNDR-USD,[],RNDR,USD,False,0.0001,RNDR-USDC,CBE,5309755.72
RNDR-USD,5.2925,-0.41583562262447,1003260.41,-15.25276878136486,0.01,0.0001,1,10000000,0.01,8235000,Render (ERC-20),US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,RNDR,,,,['RNDR-USDC'],RNDR,USD,False,0.0001,RNDR-USD,CBE,5309755.72
APT-USD,9.66,-2.91457286432161,536262.806,-6.21853629425347,0.001,0.01,1,10000000,0.001,1000000,Aptos,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,APT,,,,['APT-USDC'],APT,USD,False,0.01,APT-USD,CBE,5180298.71
APT-USDC,9.66,-2.91457286432161,536262.806,-6.21853629425347,0.001,0.01,1,10000000,0.001,1000000,Aptos,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,APT,,,APT-USD,[],APT,USD,False,0.01,APT-USDC,CBE,5180298.71
STORJ-USD,0.6205,-5.55555555555556,8303103.3,58.44680908803638,0.01,0.0001,1,10000000,0.01,28999400,Storj,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,STORJ,,,,['STORJ-USDC'],STORJ,USD,False,0.0001,STORJ-USD,CBE,5152075.6
STORJ-USDC,0.6205,-5.55555555555556,8303103.3,58.44680908803638,0.01,0.0001,1,10000000,0.01,28999400,Storj,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,STORJ,,,STORJ-USD,[],STORJ,USD,False,0.0001,STORJ-USDC,CBE,5152075.6
USDT-EUR,0.91983,-0.08472643138788,5334223.5,-39.87077709555224,0.01,0.00001,1,10000000,0.01,11241800,Tether,Euro,False,False,False,online,False,False,False,False,False,SPOT,EUR,USDT,,,,[],USDT,EUR,False,0.00001,USDT-EUR,CBE,4906578.80201
AERO-USD,1.35411,-1.57510648504848,3601754.9,4.01451138717295,0.1,0.00001,1,10000000,0.1,111212780.0026983375786586,Aerodrome Finance,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AERO,,,,['AERO-USDC'],AERO,USD,False,0.00001,AERO-USD,CBE,4877172.33
AERO-USDC,1.35411,-1.57510648504848,3601754.9,4.01451138717295,0.1,0.00001,1,10000000,0.1,111212780.0026983375786586,Aerodrome Finance,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,AERO,,,AERO-USD,[],AERO,USD,False,0.00001,AERO-USDC,CBE,4877172.33
ADA-USDC,0.3506,0.95018715807659,13694722.29955193,14.37668612515068,0.00000001,0.0001,1,10000000,0.00000001,30176000,Cardano,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ADA,,,ADA-USD,[],ADA,USD,False,0.0001,ADA-USDC,CBE,4801369.64
ADA-USD,0.3506,0.95018715807659,13694722.29955193,14.37668612515068,0.00000001,0.0001,1,10000000,0.00000001,30176000,Cardano,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ADA,,,,['ADA-USDC'],ADA,USD,False,0.0001,ADA-USD,CBE,4801369.64
HBAR-USDC,0.05285,2.98129384255651,88654556,-9.13831564731589,0.1,0.00001,1,10000000,0.1,154273063.0129868607174962,Hedera,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,HBAR,,,HBAR-USD,[],HBAR,USD,False,0.00001,HBAR-USDC,CBE,4685393.28
HBAR-USD,0.05285,2.98129384255651,88654556,-9.13831564731589,0.1,0.00001,1,10000000,0.1,154273063.0129868607174962,Hedera,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,HBAR,,,,['HBAR-USDC'],HBAR,USD,False,0.00001,HBAR-USD,CBE,4685393.28
NEAR-USD,4.807,-0.37305699481865,933700.749,-2.9034616169336,0.001,0.001,1,10000000,0.001,5280000,NEAR Protocol,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,NEAR,,,,['NEAR-USDC'],NEAR,USD,False,0.001,NEAR-USD,CBE,4488299.5
NEAR-USDC,4.807,-0.37305699481865,933700.749,-2.9034616169336,0.001,0.001,1,10000000,0.001,5280000,NEAR Protocol,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,NEAR,,,NEAR-USD,[],NEAR,USD,False,0.001,NEAR-USDC,CBE,4488299.5
BCH-USDC,362.73,-1.40795303199152,12247.4952416,-5.70301071697117,0.00000001,0.01,1,10000000,0.00000001,84200,Bitcoin Cash,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BCH,,,BCH-USD,[],BCH,USD,False,0.01,BCH-USDC,CBE,4442533.95
BCH-USD,362.73,-1.40795303199152,12247.4952416,-5.70301071697117,0.00000001,0.01,1,10000000,0.00000001,84200,Bitcoin Cash,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BCH,,,,['BCH-USDC'],BCH,USD,False,0.01,BCH-USD,CBE,4442533.95
WELL-USD,0.055608,3.24736812788949,74905876,8.99650295638189,1,0.000001,1,10000000,1,289584259.6720408032817217,Moonwell,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,WELL,,,,['WELL-USDC'],WELL,USD,False,0.000001,WELL-USD,CBE,4165365.95
WELL-USDC,0.055608,3.24736812788949,74905876,8.99650295638189,1,0.000001,1,10000000,1,289584259.6720408032817217,Moonwell,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,WELL,,,WELL-USD,[],WELL,USD,False,0.000001,WELL-USDC,CBE,4165365.95
XLM-USDC,0.09675,-0.08674639073053,40990359.47714675,-1.8188457043028,0.00000001,0.000001,1,10000000,0.00000001,116945400,Stellar Lumens,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,XLM,,,XLM-USD,[],XLM,USD,False,0.000001,XLM-USDC,CBE,3965817.28
XLM-USD,0.09675,-0.08674639073053,40990359.47714675,-1.8188457043028,0.00000001,0.000001,1,10000000,0.00000001,116945400,Stellar Lumens,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,XLM,,,,['XLM-USDC'],XLM,USD,False,0.000001,XLM-USD,CBE,3965817.28
TIA-USD,5.91,-0.97184986595174,640113.75,-33.87330612483047,0.01,0.001,1,10000000,0.01,4275957.8436956452979184,Celestia,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,TIA,,,,['TIA-USDC'],TIA,USD,False,0.001,TIA-USD,CBE,3783072.26
TIA-USDC,5.91,-0.97184986595174,640113.75,-33.87330612483047,0.01,0.001,1,10000000,0.01,4275957.8436956452979184,Celestia,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,TIA,,,TIA-USD,[],TIA,USD,False,0.001,TIA-USDC,CBE,3783072.26
AAVE-USD,158.58,2.44186046511628,23361.812,10.2912809466148,0.001,0.01,1,10000000,0.001,141000,Aave,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AAVE,,,,['AAVE-USDC'],AAVE,USD,False,0.01,AAVE-USD,CBE,3704716.15
