time,low,high,open,close,volume
2024-11-19 20:06:00,0.2669,0.2696,0.2696,0.2688,51328.7
2024-11-19 20:08:00,0.2688,0.2688,0.2688,0.2688,10.8
2024-11-19 20:09:00,0.2675,0.27,0.2688,0.2675,5516.8
2024-11-19 20:10:00,0.2672,0.2691,0.2691,0.268,635.3
2024-11-19 20:12:00,0.2678,0.2689,0.2678,0.2689,3084.1
2024-11-19 20:21:00,0.2689,0.2694,0.2689,0.2693,236.3
2024-11-19 20:26:00,0.2687,0.2687,0.2687,0.2687,27.4
2024-11-19 20:27:00,0.2687,0.2701,0.2687,0.2701,7394.4
2024-11-19 20:28:00,0.2671,0.2692,0.2685,0.2692,4756.0
2024-11-19 20:30:00,0.2691,0.2693,0.2691,0.2693,184.4
2024-11-19 20:36:00,0.2675,0.2698,0.2692,0.2675,7025.4
2024-11-19 20:40:00,0.2671,0.2674,0.2674,0.2672,486.5
2024-11-19 20:41:00,0.2675,0.2704,0.2678,0.2704,2274.1
2024-11-19 20:42:00,0.2688,0.2688,0.2688,0.2688,96.0
2024-11-19 20:46:00,0.2686,0.2704,0.2687,0.2686,163.1
2024-11-19 20:48:00,0.2685,0.2696,0.2685,0.2696,2060.1
2024-11-19 20:50:00,0.2684,0.2698,0.2684,0.2698,26.3
2024-11-19 20:51:00,0.2676,0.2683,0.2683,0.2676,2315.6
2024-11-19 20:56:00,0.2666,0.2689,0.2675,0.2675,2646.2
2024-11-19 20:58:00,0.2666,0.2678,0.2678,0.2666,634.8
2024-11-19 21:00:00,0.2674,0.268,0.2676,0.2678,1239.8
2024-11-19 21:01:00,0.2682,0.2694,0.2682,0.2694,1201.2
2024-11-19 21:03:00,0.2683,0.2683,0.2683,0.2683,673.8
2024-11-19 21:04:00,0.2684,0.2703,0.2695,0.2684,201.8
2024-11-19 21:06:00,0.2683,0.2703,0.2703,0.2692,1748.3
2024-11-19 21:08:00,0.2688,0.2709,0.2701,0.2688,545.5
2024-11-19 21:09:00,0.267,0.2698,0.2688,0.2698,2033.1
2024-11-19 21:14:00,0.2672,0.268,0.268,0.2672,185.9
2024-11-19 21:15:00,0.2671,0.2686,0.2672,0.2686,11679.4
2024-11-19 21:16:00,0.2654,0.267,0.267,0.2654,9960.3
2024-11-19 21:20:00,0.2654,0.2665,0.2665,0.266,295.0
