time,low,high,open,close,volume
2024-11-19 20:03:00,1.097,1.099,1.097,1.099,4549.5
2024-11-19 20:04:00,1.099,1.1,1.099,1.1,728.97
2024-11-19 20:06:00,1.101,1.106,1.101,1.106,124.24
2024-11-19 20:07:00,1.106,1.108,1.106,1.108,160.48
2024-11-19 20:08:00,1.097,1.105,1.105,1.097,3224.96
2024-11-19 20:11:00,1.101,1.103,1.101,1.102,1425.6
2024-11-19 20:13:00,1.104,1.105,1.104,1.105,25.99
2024-11-19 20:14:00,1.102,1.107,1.106,1.103,3636.3
2024-11-19 20:16:00,1.097,1.103,1.102,1.097,1364.77
2024-11-19 20:17:00,1.093,1.097,1.097,1.096,6044.7
2024-11-19 20:18:00,1.093,1.096,1.096,1.095,1499.31
2024-11-19 20:19:00,1.092,1.094,1.094,1.092,794.27
2024-11-19 20:20:00,1.094,1.095,1.094,1.095,364.69
2024-11-19 20:21:00,1.092,1.094,1.092,1.094,418.24
2024-11-19 20:24:00,1.093,1.095,1.095,1.093,244.42
2024-11-19 20:25:00,1.091,1.093,1.091,1.092,337.87
2024-11-19 20:26:00,1.09,1.09,1.09,1.09,2872.14
2024-11-19 20:27:00,1.092,1.092,1.092,1.092,21.31
2024-11-19 20:28:00,1.093,1.096,1.096,1.093,2163.96
2024-11-19 20:33:00,1.094,1.097,1.094,1.094,1940.67
2024-11-19 20:39:00,1.093,1.098,1.093,1.094,230.52
2024-11-19 20:42:00,1.085,1.091,1.091,1.09,2116.66
2024-11-19 20:49:00,1.083,1.087,1.084,1.087,318.61
2024-11-19 20:55:00,1.08,1.086,1.086,1.08,780.65
2024-11-19 21:00:00,1.087,1.092,1.087,1.092,378.01
2024-11-19 21:03:00,1.092,1.102,1.092,1.102,1061.42
2024-11-19 21:05:00,1.099,1.101,1.101,1.099,663.35
2024-11-19 21:06:00,1.101,1.102,1.102,1.101,284.56
2024-11-19 21:08:00,1.098,1.098,1.098,1.098,246.23
2024-11-19 21:09:00,1.098,1.105,1.098,1.105,367.63
2024-11-19 21:10:00,1.106,1.119,1.106,1.119,994.15
2024-11-19 21:11:00,1.12,1.133,1.12,1.127,1632.88
2024-11-19 21:12:00,1.12,1.126,1.126,1.12,24.5
2024-11-19 21:13:00,1.123,1.131,1.123,1.131,396.31
2024-11-19 21:14:00,1.124,1.133,1.124,1.124,3193.91
2024-11-19 21:15:00,1.106,1.123,1.123,1.106,2125.46
2024-11-19 21:17:00,1.106,1.106,1.106,1.106,169.35
2024-11-19 21:18:00,1.105,1.109,1.106,1.109,103.22
2024-11-19 21:21:00,1.101,1.104,1.104,1.101,90.52
2024-11-19 21:26:00,1.097,1.101,1.101,1.098,236.35
2024-11-19 21:28:00,1.102,1.104,1.102,1.104,489.89
2024-11-19 21:30:00,1.095,1.101,1.097,1.101,247.58
2024-11-19 21:33:00,1.1,1.103,1.102,1.1,182.34
2024-11-19 21:34:00,1.099,1.1,1.1,1.099,25.79
2024-11-19 21:37:00,1.093,1.102,1.102,1.093,477.67
2024-11-19 21:42:00,1.088,1.092,1.092,1.088,803.62
2024-11-19 21:44:00,1.088,1.099,1.088,1.099,367.23
2024-11-19 21:48:00,1.097,1.104,1.098,1.104,3236.49
2024-11-19 21:49:00,1.088,1.097,1.097,1.091,188.24
2024-11-19 21:51:00,1.095,1.096,1.095,1.096,7.0
2024-11-19 21:52:00,1.097,1.103,1.097,1.103,93.26
2024-11-19 21:56:00,1.103,1.103,1.103,1.103,90.35
2024-11-19 21:58:00,1.103,1.103,1.103,1.103,776.89
2024-11-19 22:00:00,1.096,1.103,1.103,1.096,1982.01
2024-11-19 22:02:00,1.092,1.097,1.096,1.097,249.53
2024-11-19 22:08:00,1.087,1.098,1.098,1.087,77.24
2024-11-19 22:15:00,1.086,1.089,1.089,1.086,478.91
2024-11-19 22:28:00,1.074,1.088,1.088,1.074,317.41
2024-11-19 22:29:00,1.066,1.073,1.073,1.066,72.08
2024-11-19 22:32:00,1.069,1.078,1.073,1.069,82.6
2024-11-19 22:34:00,1.071,1.076,1.071,1.076,546.43
2024-11-19 22:39:00,1.076,1.076,1.076,1.076,63.27
2024-11-19 22:40:00,1.071,1.08,1.077,1.071,88.21
2024-11-19 22:44:00,1.07,1.078,1.07,1.078,295.96
2024-11-19 22:50:00,1.079,1.084,1.079,1.084,739.11
2024-11-19 22:52:00,1.082,1.089,1.085,1.082,1252.14
2024-11-19 22:54:00,1.085,1.088,1.085,1.088,70.22
2024-11-19 22:59:00,1.084,1.088,1.088,1.087,264.88
2024-11-19 23:04:00,1.089,1.089,1.089,1.089,3.5
2024-11-19 23:05:00,1.086,1.099,1.086,1.099,954.49
2024-11-19 23:11:00,1.09,1.098,1.095,1.098,62.98
2024-11-19 23:15:00,1.089,1.091,1.091,1.089,10.5
2024-11-19 23:21:00,1.096,1.101,1.096,1.101,744.37
2024-11-19 23:26:00,1.101,1.101,1.101,1.101,100.0
2024-11-19 23:28:00,1.099,1.102,1.102,1.099,49.79
2024-11-19 23:42:00,1.099,1.1,1.099,1.1,52.08
2024-11-19 23:47:00,1.099,1.099,1.099,1.099,177.59
2024-11-19 23:48:00,1.098,1.098,1.098,1.098,223.98
2024-11-19 23:53:00,1.096,1.096,1.096,1.096,0.16
2024-11-19 23:54:00,1.095,1.101,1.095,1.095,852.72
2024-11-20 00:05:00,1.102,1.107,1.102,1.107,236.41
2024-11-20 00:06:00,1.106,1.107,1.107,1.106,63.39
2024-11-20 00:12:00,1.108,1.108,1.108,1.108,382.11
2024-11-20 00:13:00,1.106,1.106,1.106,1.106,55.71
2024-11-20 00:14:00,1.109,1.115,1.109,1.115,29.0
2024-11-20 00:15:00,1.113,1.126,1.113,1.126,195.86
2024-11-20 00:16:00,1.126,1.136,1.126,1.129,2733.89
2024-11-20 00:17:00,1.131,1.135,1.135,1.131,944.29
2024-11-20 00:18:00,1.127,1.135,1.128,1.135,81.52
2024-11-20 00:19:00,1.127,1.134,1.134,1.127,887.07
2024-11-20 00:20:00,1.123,1.129,1.126,1.129,77.03
2024-11-20 00:21:00,1.13,1.134,1.13,1.134,124.52
2024-11-20 00:22:00,1.135,1.147,1.135,1.147,3116.04
2024-11-20 00:23:00,1.127,1.146,1.146,1.127,2693.02
2024-11-20 00:24:00,1.12,1.126,1.126,1.12,503.5
2024-11-20 00:25:00,1.126,1.133,1.126,1.133,516.61
2024-11-20 00:26:00,1.124,1.133,1.133,1.127,681.63
2024-11-20 00:28:00,1.122,1.132,1.128,1.132,144.28
2024-11-20 00:29:00,1.132,1.144,1.132,1.144,9965.32
2024-11-20 00:30:00,1.143,1.167,1.144,1.167,18484.02
2024-11-20 00:31:00,1.162,1.181,1.168,1.17,4157.05
2024-11-20 00:32:00,1.156,1.181,1.169,1.159,4773.64
2024-11-20 00:33:00,1.144,1.155,1.155,1.155,2292.16
2024-11-20 00:34:00,1.148,1.163,1.148,1.163,514.28
2024-11-20 00:36:00,1.155,1.162,1.156,1.162,56.86
2024-11-20 00:37:00,1.159,1.169,1.159,1.167,826.61
2024-11-20 00:38:00,1.149,1.169,1.168,1.167,2351.83
2024-11-20 00:39:00,1.151,1.171,1.162,1.158,3425.78
2024-11-20 00:40:00,1.151,1.165,1.16,1.151,1235.58
2024-11-20 00:41:00,1.127,1.15,1.15,1.127,2548.12
2024-11-20 00:42:00,1.133,1.142,1.134,1.14,917.15
2024-11-20 00:43:00,1.135,1.136,1.136,1.135,383.0
2024-11-20 00:44:00,1.143,1.152,1.143,1.144,554.4
2024-11-20 00:45:00,1.146,1.163,1.151,1.163,3021.23
2024-11-20 00:47:00,1.162,1.167,1.163,1.162,649.82
2024-11-20 00:48:00,1.158,1.164,1.16,1.161,1133.3
2024-11-20 00:49:00,1.162,1.164,1.162,1.164,109.78
2024-11-20 00:50:00,1.156,1.164,1.164,1.156,14.36
2024-11-20 00:52:00,1.149,1.158,1.158,1.152,1723.65
2024-11-20 00:53:00,1.152,1.154,1.152,1.154,1274.11
2024-11-20 00:55:00,1.154,1.158,1.155,1.154,12.5
2024-11-20 00:56:00,1.152,1.154,1.154,1.152,94.37
2024-11-20 00:57:00,1.154,1.161,1.155,1.161,1284.79
2024-11-20 00:59:00,1.16,1.163,1.161,1.163,588.79
2024-11-20 01:00:00,1.163,1.176,1.163,1.175,559.41
2024-11-20 01:01:00,1.173,1.19,1.175,1.189,5266.08
2024-11-20 01:02:00,1.189,1.195,1.19,1.195,3267.53
