,<-5%,-4% to -5%,-3% to -4%,-2% to -3%,-1% to -2%,-1% to 0%,0% to 1%,1% to 2%,2% to 3%,3% to 4%,4% to 5%,>5%
<-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4% to -5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3% to -4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2% to -3%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1% to -2%,0.0,0.0,0.0,0.0,0.21052631578947367,0.42105263157894735,0.34210526315789475,0.02631578947368421,0.0,0.0,0.0,0.0
-1% to 0%,0.0,0.0,0.0,5.671506352087114e-05,0.0006238656987295826,0.5556941923774955,0.43483439201451907,0.00839382940108893,0.00028357531760435573,5.671506352087114e-05,5.671506352087114e-05,0.0
0% to 1%,0.0,0.0,0.0,0.0,0.0005817523674089396,0.2480527455479784,0.7234737080249507,0.023173135968456094,0.0031673184447820043,0.0010019068549820627,0.00032319575967163313,0.00022623703177014317
1% to 2%,0.0,0.0,0.0,0.0,0.0,0.08743927827897294,0.5163081193615545,0.26717557251908397,0.07147814018043026,0.03469812630117974,0.008327550312283136,0.01457321304649549
2% to 3%,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.31666666666666665,0.32666666666666666,0.15333333333333332,0.11333333333333333,0.03666666666666667,0.02666666666666667
3% to 4%,0.0,0.0,0.0,0.0,0.007246376811594203,0.014492753623188406,0.10144927536231885,0.4420289855072464,0.2246376811594203,0.09420289855072464,0.043478260869565216,0.07246376811594203
4% to 5%,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.2727272727272727,0.3181818181818182,0.1590909090909091,0.18181818181818182,0.0,0.022727272727272728
>5%,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.16071428571428573,0.35714285714285715,0.17857142857142858,0.05357142857142857,0.07142857142857142,0.16071428571428573
