Datetime,Action,Coin,Price,Quantity,Cash,Portfolio,Profit,Commission
2024-11-26 14:39:37.530423,Buy,SOL-USD,227.61,366.38088442591857,16608.046895816675,{'SOL-USD': np.float64(366.38088442591857)},0.0,0.0
2024-11-26 14:39:37.660985,Buy,LTC-USD,90.17,153.16780704019067,2796.9057350026815,"{'SOL-USD': np.float64(366.38088442591857), 'LTC-USD': np.float64(153.16780704019067)}",0.0,0.0
2024-11-26 14:39:37.781503,Buy,BTC-USD,92121.91,0.023345466699143162,646.2767528362178,"{'SOL-USD': np.float64(366.38088442591857), 'LTC-USD': np.float64(153.16780704019067), 'BTC-USD': np.float64(0.023345466699143162)}",0.0,0.0
2024-11-26 14:39:37.927651,Buy,SHIB-USD,2.402e-05,20839339.924392506,145.7158078523098,"{'SOL-USD': np.float64(366.38088442591857), 'LTC-USD': np.float64(153.16780704019067), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506)}",0.0,0.0
2024-11-26 14:39:38.030777,Buy,ETH-USD,3296.29,0.03660844723376372,25.043749320126807,"{'SOL-USD': np.float64(366.38088442591857), 'LTC-USD': np.float64(153.16780704019067), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.03660844723376372)}",0.0,0.0
2024-11-26 14:39:48.175373,Sell,SOL-USD,227.65,366.38088442591857,83431.6520888805,"{'SOL-USD': np.float64(0.0), 'LTC-USD': np.float64(153.16780704019067), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.03660844723376372)}",14.655235377033828,0.0
2024-11-26 14:39:48.301281,Sell,LTC-USD,90.23,153.16780704019067,97251.9833181169,"{'SOL-USD': np.float64(0.0), 'LTC-USD': np.float64(0.0), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.03660844723376372)}",9.190068422411787,0.0
2024-11-26 14:39:58.790050,Buy,SOL-USD,227.64,356.26571921249445,16151.654996584664,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(0.0), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.03660844723376372)}",0.0,0.0
2024-11-26 14:39:58.909050,Buy,LTC-USD,90.23,148.85967746599133,2720.046298828267,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.03660844723376372)}",0.0,0.0
2024-11-26 14:39:59.309805,Sell,ETH-USD,3297.09,0.03660844723376372,2840.747644118237,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.0)}",0.029286757787017635,0.0
2024-11-26 14:40:09.884284,Buy,ETH-USD,3297.09,0.7135130259303304,488.2309814536038,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.023345466699143162), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.7135130259303304)}",0.0,0.0
2024-11-26 14:40:20.248837,Sell,BTC-USD,92133.46,0.023345466699143162,2639.1296037604425,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.0), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.7135130259303304)}",0.2696401403751715,0.0
2024-11-26 14:40:30.806126,Buy,BTC-USD,92069.71,0.02188282174743023,624.384551492848,"{'SOL-USD': np.float64(356.26571921249445), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.02188282174743023), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.7135130259303304)}",0.0,0.0
2024-11-26 14:49:25.614209,Sell,SOL-USD,227.67,356.26571921249445,81735.40084460146,"{'SOL-USD': np.float64(0.0), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.02188282174743023), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.7135130259303304)}",10.687971576375238,0.0
2024-11-26 14:49:36.331555,Buy,SOL-USD,227.42,301.38271803240866,13194.94310967109,"{'SOL-USD': np.float64(301.38271803240866), 'LTC-USD': np.float64(148.85967746599133), 'BTC-USD': np.float64(0.02188282174743023), 'SHIB-USD': np.float64(20839339.924392506), 'ETH-USD': np.float64(0.7135130259303304)}",0.0,0.0
